serial,description,meter,historical_matches
10-14606,2016 MOBILE TRACK SOULTION 3630T GEN 2,7196.0,8
10-14717,1994 JOHN DEERE 7700,384.2,5
10-1475,JOHN DEERE 9570,514.1,1
10-14880,2023 MOBILE TRACK SOLUTION 3630T GEN 5,11.15,4
10-15822,CASE 595 TRACTOR,743,1
10-16229.,JOHN DEERE TRACTOR (SMALL),457.0,2
10-35964K,KUBOTA,606.0,1
10-468412,"6"" PUMP",3443.10,1
10-5095.,2001 JOHN DEERE 9400,7695.7,3
10-5095R,JOHN DEERE TRACTOR,7548,2
10-5098 .,2001 JOHN DEERE 9400,8438.0,1
10-5098.,JOHN DEERE 9400 TRACTOR,7713,3
10-5551.,2003 JOHN DEERE 9520,415.2,7
10-5552.,2003 JOHN DEERE 9520,8599.0,4
10-6188.,1994 CATERPILLAR 824C RUB TIRE,36745.8,5
10-6223.,2005 JOHN DEER 5325,313.0,1
10-6227.,JOHN DEERE TRACTOR,1514.0,2
10-6229,JOHN DEERE TRACTOR,400,1
10-6229.,2005 JOHN DEERE 6320,470.8,6
10-6267.,JOHN DEERE,1572.0,1
10-6467,JD 9520 TRACTOR,5154.3,1
10-6467.,JD 9520,5245,4
10-6645,2006/John Deere/9520,809.6,1
10-6645.,2006 JOHN DEERE 9520,6958.0,5
10-6648.,2006 JOHN DEERE 9520,6919.7,3
10-6649.,1971 CATERPILLAR 814,1148.0,3
10000159HFA015354,DYNAPAC 3200 ROLLER,296.0,1
10000160JNA034638,DYNAPAC CA1500P,24.6,1
10000167PJA021960,DYNAPAC CA2500P,681.0,1
10001,624 FORKS,N/A,1
1012136,JD 9570 TRACTOR,900,1
101586081587-,2019 BOMAG BW211D-5,579.5,1
10158608587,BOMAG SINGLE DRUM ROLLER,548.7,1
10158765119,BOMAG BW 211 D-5 SINGLE DRUM ROLLER,606.1,1
10158765199,BOMAG SINGLE DRUM ROLLER 2110W,608.4,1
101587671048,RENTAL PAD FOOT ROLLER,256,1
101587831057,SMOOTH DRUM,184.6,1
101587831057x,2024 BOMAG BW 211 D-5,141.2,1
10218488,"6"" PUMP RENTAL",N/A,1
10311096,"6"" PUMP RENTAL",N/A,1
1035964K,BUCKET,N/A,2
1043772k,SKIDSTEER ATTACHMENT,N/A,1
10864G,CAT ROLLER,2866.3,2
10926402,"6"" PUMP RENTAL",2089.3,1
11 13743,CAT 299D SKID STEER BKT,2955,1
11 14417,CAT 299 SKID STEER BKT & FRKS,2574,1
11 14552,CAT 963 W/ FORKS,8354,1
11 14934,CAT SKIDSTEER BUCKET AND FORKS,2820,1
11 15745,JOHN DEERE 624 BKT,1880,1
11-10517,2014 CATERPILLAR D4K LGP,7120.0,8
11-11160,2005 CATERPILLAR 938M,4333.1,16
11-11214,2016 CATERPILLAR 289D,3196.4,49
11-11234,SKIDSTEER,2369,1
11-11497,2017 CATERPILLAR 289D,3788.6,1
11-11508,CAT SKIDSTEER,N/A,7
11-11510,SKIDSTEER,2298,5
11-11512,2017 CATERPILLAR 289D,2637.6,2
11-11514,SKIDSTEER,1869.8,19
11-11747,2018 CATERPILLAR 289D,2617.5,4
11-11749,SKID-STEER,2299.2,4
11-11751,SKIDSTEER,2212,6
11-12082,2014 VOLVO L120,1569.0,1
11-12128,LIGHT POLE,N/A,1
11-12160,2019 CATERPILLAR 299D2,1402.7,20
11-12162,CAT SKIDSTEER,2016.3,4
11-12183,2008 CATERPILLAR 966H,15249.2,15
11-12196,2017 CATERPILLAR 938M WHEEL LDR,7857.4,11
11-12292,2017 CATERPILLAR 938M,4822.2,7
11-12666,2020 CATERPILLAR 299D3,2483.6,5
11-12668,2020 CATERPILLAR 299D3,N/A,42
11-1267,SKID-STEER,903.1,1
11-12670,2020 CATERPILLAR 299D3,2844.1,8
11-12672,2020 CATERPILLAR 299D3,2680.2,44
11-12674,2020 CATERPILLAR 299D3,N/A,27
11-12687,2017 CATERPILLAR 938M WHEEL LDR,7114,15
11-12688,2020 CATERPILLAR 299D3,3135.58,1
11-12717,MT 28 SCRAPER,N/A,1
11-12853,2008 CATERPILLAR 963D TRACK LDR,9270.8,14
11-13101,SKID-STEER,359.5,1
11-13105,2021 CATERPILLAR 299D3,N/A(BROKEN),18
11-13106,GRADER,N/A,1
11-13109,2021 CATERPILLAR 299D3,3415.1,10
11-13112,2021 CATERPILLAR 299D3,1790.2,27
11-13115,CAT SKIDSTEER,613.0,9
11-131151,CAT SKID-STEER,84.4,1
11-13239,2021 JOHN DEERE 333GX,1758.0,31
11-13244,2019 CATERPILLAR 938M WHEEL LDR,5416,40
11-13271,SKID STEER,176.0,1
11-13410,2021 JOHN DEERE 333GX,1872.9,10
11-13416,2020 JOHN DEERE 624L,259.0,2
11-13504,JOHN DEERE 624L,362.7,2
11-13528,2021 JOHN DEERE 624L,299.4,1
11-13572,2022 CATERPILLAR 299D3,2050.4,4
11-13574,2022 CATERPILLAR 299D3,1924.9,8
11-13576,2022 CATERPILLAR 299D3,486.0,1
11-13580,2022 CATERPILLAR 299D3,1639.2,48
11-13582,2022 CATERPILLAR 299D3,3530.9,4
11-13584,2022 CATERPILLAR 299D3,2473.6,16
11-13586,2022 CATERPILLAR 299D3,43.0,19
11-13588,2020 TAKEUCHI TL12V2,765.2,2
11-13663,2020 JOHN DEERE 544L,283.1,1
11-13728,2022 JOHN DEERE 624P,1556.1,14
11-13738,2022 CATERPILLAR 299D3,1982,17
11-13740,2022 JOHN DEERE 624P,927.2,14
11-13743,2022 CATERPILLAR 299D3,2995.6,19
11-13747,2022 CATERPILLAR 279D3,N/A,26
11-13904,CATERPILLAR 279D,1697.2,1
11-13906,CATERPILLAR 279D,1687.1,1
11-14112,2021 CATERPILLAR 299D3,1669.0,1
